date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:29:52	90293/90293	---MCZ	200	added ('OK')	text/html	etag:%22a385eeafa90bebd70ada0097c0141c20-ssl-df%22	https://sandbox-tailwind-template.netlify.app/demo17	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/demo17.html	(from )
02:29:52	7015/7015	---MCZ	404	error ('Not%20Found')	text/html	etag:1729671464-ssl-df	https://sandbox-tailwind-template.netlify.app/robots.txt		(from )
02:29:53	575/575	---M--	200	added ('OK')	image/png	etag:%22f78c53958836ea91e131235bf80b37af-ssl%22	https://sandbox-tailwind-template.netlify.app/assets/img/favicon.png	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/assets/img/favicon.png	(from https://sandbox-tailwind-template.netlify.app/demo17)
02:29:53	371/371	---M--	200	added ('OK')	text/css	etag:%2281aeb298faf61a931b077c0babfbfc28-ssl%22	https://sandbox-tailwind-template.netlify.app/assets/fonts/unicons/unicons.css	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/assets/fonts/unicons/unicons.css	(from https://sandbox-tailwind-template.netlify.app/demo17)
02:29:54	139490/139490	---MCZ	200	added ('OK')	text/css	etag:%226f76f330e7f7d5c7c325fc1bf839a135-ssl-df%22	https://sandbox-tailwind-template.netlify.app/assets/css/plugins.css	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/assets/css/plugins.css	(from https://sandbox-tailwind-template.netlify.app/demo17)
02:29:55	715556/715556	---MCZ	200	added ('OK')	text/css	etag:%22182a7d1cd02ce433f8703e7a73dc25bf-ssl-df%22	https://sandbox-tailwind-template.netlify.app/style.css	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/style.css	(from https://sandbox-tailwind-template.netlify.app/demo17)
02:29:55	2735/2735	---M-Z	200	added ('OK')	text/css	etag:%223c7526b7c3a336346b2270c55a14937b-ssl-df%22	https://sandbox-tailwind-template.netlify.app/assets/css/colors/navy.css	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/assets/css/colors/navy.css	(from https://sandbox-tailwind-template.netlify.app/demo17)
02:29:56	1066/1066	---M--	200	added ('OK')	image/png	etag:%22903411deb2bb45f32b522c4d484b3ec6-ssl%22	https://sandbox-tailwind-template.netlify.app/assets/img/logo-dark.png	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/assets/img/logo-dark.png	(from https://sandbox-tailwind-template.netlify.app/demo17)
02:29:57	122800/122800	---MCZ	200	added ('OK')	text/html	etag:%22ea66442667afae107e4338dbb26b801b-ssl-df%22	https://sandbox-tailwind-template.netlify.app/	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/index.html	(from https://sandbox-tailwind-template.netlify.app/demo17)
02:29:57	124579/124579	---MCZ	200	added ('OK')	text/html	etag:%224fa0c98f97c653cb0cfbe2f500ec0c03-ssl-df%22	https://sandbox-tailwind-template.netlify.app/demo1	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/demo1.html	(from https://sandbox-tailwind-template.netlify.app/demo17)
02:29:57	4751/4751	---M--	200	added ('OK')	image/jpeg	etag:%224517979376e4ead3391930d3987a6412-ssl%22	https://sandbox-tailwind-template.netlify.app/assets/img/demos/mi1.jpg	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/assets/img/demos/mi1.jpg	(from https://sandbox-tailwind-template.netlify.app/demo17)
02:29:59	88700/88700	---MCZ	200	added ('OK')	text/html	etag:%229a303473d76f650d52f38b0ecd096366-ssl-df%22	https://sandbox-tailwind-template.netlify.app/demo2	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/demo2.html	(from https://sandbox-tailwind-template.netlify.app/demo17)
02:29:59	5329/5329	---M--	200	added ('OK')	image/jpeg	etag:%22815bacdfe79e3eb7d5468da8a0289f8f-ssl%22	https://sandbox-tailwind-template.netlify.app/assets/img/demos/mi2.jpg	D:/cnegry%20web/sandbox-tailwind-template.netlify.app/assets/img/demos/mi2.jpg	(from https://sandbox-tailwind-template.netlify.app/demo17)
